ganador,titulo,year,nominaciones,puntuacion,votos,criticas,coproduccion,genero,feroz_drama,feroz_comedia,forque,cec
1,El viaje a ninguna parte,1987,5,7.7,12759,57,0,"['Drama', 'Comedia']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,La mitad del cielo,1987,5,6.5,1932,17,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,27 horas,1987,0,6.0,1786,13,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,El bosque animado,1988,8,7.4,12391,47,0,"['Comedia', 'Fantástico']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Divinas palabras,1988,6,5.6,923,5,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,El Lute: Camina o revienta,1988,4,6.5,6813,22,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,Mujeres al borde de un ataque de nervios,1989,16,7.0,52028,100,0,"['Comedia', 'Drama']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Diario de invierno,1989,4,5.9,211,3,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,El túnel,1989,2,5.1,387,7,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Espérame en el cielo,1989,7,6.5,2629,12,0,['Comedia'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Remando al viento,1989,13,6.4,3781,30,0,"['Drama', 'Romance', 'Intriga']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,El sueño del mono loco,1990,11,5.4,1850,12,1,"['Intriga', 'Drama']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,El mar y el tiempo,1990,10,6.5,646,10,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,El niño de la luna,1990,10,5.5,504,3,0,"['Fantástico', 'Drama']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Esquilache,1990,12,5.9,1281,12,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Montoyas y Tarantos,1990,7,5.3,479,3,0,"['Drama', 'Romance']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,"¡Ay, Carmela!",1991,15,6.8,12601,36,1,"['Drama', 'Comedia']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Las cartas de Alou,1991,8,6.1,1293,15,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,ganador
0,¡Átame!,1991,15,6.5,20165,63,0,"['Drama', 'Comedia', 'Romance']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,Amantes,1992,7,6.6,9130,50,0,"['Drama', 'Romance', 'Thriller']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Don Juan en los infiernos,1992,7,5.7,631,3,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,El rey pasmado,1992,14,5.7,5270,26,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,Belle Époque,1993,17,6.8,25967,61,0,"['Comedia', 'Romance']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,El maestro de esgrima,1993,11,5.8,3139,18,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,ganador
0,"Jamón, jamón",1993,6,5.4,19106,72,0,"['Comedia', 'Drama', 'Romance']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,Todos a la cárcel,1994,5,5.6,5576,23,0,['Comedia'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Intruso,1994,5,4.7,942,11,0,"['Intriga', 'Drama']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Sombras en una batalla,1994,4,6.0,717,6,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,ganador
1,Días contados,1995,19,6.3,11554,53,0,"['Thriller', 'Drama']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Canción de cuna,1995,11,5.6,1992,14,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,ganador
0,La pasión turca,1995,12,4.6,8779,29,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,Nadie hablará de nosotras cuando hayamos muerto,1996,10,6.8,9951,48,0,"['Thriller', 'Drama']",no_clasificado,no_clasificado,ganador,ganador
0,El día de la bestia,1996,14,7.1,75341,153,0,"['Comedia', 'Acción', 'Fantástico', 'Terror']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Boca a boca,1996,8,5.4,7036,7,0,['Comedia'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,Tesis,1997,8,7.7,98077,253,0,"['Intriga', 'Thriller']",no_clasificado,no_clasificado,ganador,no_clasificado
0,Bwana,1997,3,5.2,2623,12,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,El perro del hortelano,1997,12,6.4,8378,18,0,"['Comedia', 'Romance', 'Drama']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
1,La buena estrella,1998,7,7.0,19991,46,0,"['Drama', 'Romance']",no_clasificado,no_clasificado,ganador,no_clasificado
0,Martín (Hache),1998,4,7.5,49188,136,1,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Secretos del corazón,1998,9,6.9,9565,35,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,ganador
1,La niña de tus ojos,1999,18,6.2,17847,38,0,"['Drama', 'Comedia']",no_clasificado,no_clasificado,nominado,no_clasificado
0,Abre los ojos,1999,10,7.3,73250,181,1,"['Intriga', 'Thriller', 'Ciencia ficción', 'Drama']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Barrio,1999,6,7.2,31333,49,0,['Drama'],no_clasificado,no_clasificado,ganador,no_clasificado
0,El abuelo,1999,13,6.9,12872,64,0,['Drama'],no_clasificado,no_clasificado,nominado,ganador
1,Todo sobre mi madre,2000,14,7.1,77714,138,1,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Cuando vuelvas a mi lado,2000,7,6.6,1928,15,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
